id,name,unlockCount,availability
recipes_1,Acorn Pochette,0,Balloons 
recipes_2,Acorn Rug,0,Balloons 
recipes_3,Acoustic Guitar,0,Smug villager 
recipes_4,Aji Fry,0,Fishing 
recipes_5,Anchoas al Ajillo,0,Fishing 
recipes_6,Angled Signpost,100,Lazy villager 
recipes_7,Apple Chair,100,Tom Nook Big sister villager 
recipes_8,Apple Dress,100,Big sister villager 
recipes_9,Apple Hat,100,Big sister villager 
recipes_10,Apple Jam,0,Any villager Restaurant 
recipes_11,Apple Jelly,0,Any villager Restaurant 
recipes_12,Apple Pie,0,Any villager Restaurant 
recipes_13,Apple Rug,100,Big sister villager 
recipes_14,Apple Smoothie,0,Any villager Be a Chef! DIY Recipes+ 
recipes_15,Apple Tart,0,Any villager Restaurant 
recipes_16,Apple Umbrella,100,Big sister villager 
recipes_17,Apple Wall,100,Big sister villager 
recipes_18,Aquarius Urn,0,Celeste Message Bottle 
recipes_19,Aries Rocking Chair,0,Celeste Message Bottle 
recipes_20,Armor Shoes,100,Cranky villager 
recipes_21,Aroma Pot,0,Snooty villager 
recipes_22,Asteroid,0,Celeste Message Bottle 
recipes_23,Astronaut Suit,0,Celeste Message Bottle 
recipes_24,Autumn Wall,0,Balloons Message Bottle 
recipes_25,Axe,0,Pretty Good Tools Recipes 
recipes_26,Backyard Lawn,0,Peppy villager 
recipes_27,Baked Potatoes,0,Any villager Restaurant 
recipes_28,Bamboo Basket,50,Snooty villager 
recipes_29,Bamboo Bench,50,Normal villager 
recipes_30,Bamboo Candleholder,50,Snooty villager 
recipes_31,Bamboo Doll,0,Balloons Message Bottle 
recipes_32,Bamboo Drum,50,Jock villager 
recipes_33,Bamboo Floor Lamp,50,Normal villager 
recipes_34,Bamboo Flooring,50,Cranky villager 
recipes_35,Bamboo Hat,100,Cranky villager 
recipes_36,Bamboo Lattice Fence,0,Nook Miles Redemption 
recipes_37,Bamboo Lunch Box,50,Snooty villager 
recipes_38,Bamboo Noodle Slide,0,Balloons Isabelle 
recipes_39,Bamboo Partition,50,Cranky villager 
recipes_40,Bamboo Shelf,50,Snooty villager 
recipes_41,Bamboo Speaker,50,Snooty villager 
recipes_42,Bamboo Sphere,50,Normal villager 
recipes_43,Bamboo Stool,50,Snooty villager 
recipes_44,Bamboo Stopblock,50,Jock villager 
recipes_45,Bamboo Wall,50,Cranky villager 
recipes_46,Bamboo Wall Decoration,50,Jock villager 
recipes_47,Bamboo Wand,0,Balloons Message Bottle 
recipes_48,Bamboo-Grove Wall,0,Balloons Message Bottle 
