id,name,category,variation,availability
furniture_1-1,1-Up Mushroom,Miscellaneous,,Nook Shopping 
furniture_2-1,accessories stand,Miscellaneous,White,Nook's Cranny 
furniture_2-2,accessories stand,Miscellaneous,Pink,Nook's Cranny 
furniture_2-3,accessories stand,Miscellaneous,Black,Nook's Cranny 
furniture_2-4,accessories stand,Miscellaneous,Brown,Nook's Cranny 
furniture_2-5,accessories stand,Miscellaneous,Light blue,Nook's Cranny 
furniture_3-1,ACNH Nintendo Switch,Miscellaneous,,Nook Shopping Nintendo 
furniture_4-1,afternoon-tea set,Miscellaneous,Silver,Nook's Cranny Paradise Planning office 
furniture_4-2,afternoon-tea set,Miscellaneous,Gold,Nook's Cranny Paradise Planning office 
furniture_4-3,afternoon-tea set,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_5-1,agrias butterfly model,Miscellaneous,,Flick 
furniture_6-1,air circulator,Miscellaneous,White,Nook's Cranny 
furniture_6-2,air circulator,Miscellaneous,Black,Nook's Cranny 
furniture_6-3,air circulator,Miscellaneous,Pink,Nook's Cranny 
furniture_6-4,air circulator,Miscellaneous,Green,Nook's Cranny 
furniture_6-5,air circulator,Miscellaneous,Yellow,Nook's Cranny 
furniture_7-1,aji fry,Miscellaneous,,cooking 
furniture_8-1,aloha-edition carrying case,Miscellaneous,,NookLink 
furniture_9-1,aluminum briefcase,Miscellaneous,Stacks of cash,Nook's Cranny (upgraded) 
furniture_9-2,aluminum briefcase,Miscellaneous,Gold bars,Nook's Cranny (upgraded) 
furniture_10-1,analog kitchen scale,Miscellaneous,Red,Nook's Cranny 
furniture_10-2,analog kitchen scale,Miscellaneous,Yellow,Nook's Cranny 
furniture_10-3,analog kitchen scale,Miscellaneous,Green,Nook's Cranny 
furniture_10-4,analog kitchen scale,Miscellaneous,Blue,Nook's Cranny 
furniture_10-5,analog kitchen scale,Miscellaneous,Pink,Nook's Cranny 
furniture_10-6,analog kitchen scale,Miscellaneous,Ivory,Nook's Cranny 
furniture_10-7,analog kitchen scale,Miscellaneous,Light blue,Nook's Cranny 
furniture_10-8,analog kitchen scale,Miscellaneous,Silver,Nook's Cranny 
furniture_11-1,anchoas al ajillo,Miscellaneous,,cooking 
furniture_12-1,anchovy model,Miscellaneous,,C.J. 
furniture_13-1,ancient statue (fake),Miscellaneous,,Jolly Redd's Treasure Trawler Redd's Co-Op any villager 
furniture_14-1,ancient statue,Miscellaneous,,Jolly Redd's Treasure Trawler Redd's Co-Op any villager 
furniture_15-1,angelfish model,Miscellaneous,,C.J. 
furniture_16-1,ant farm,Miscellaneous,,Nook's Cranny (upgraded) 
furniture_17-1,ant model,Miscellaneous,,Flick 
furniture_18-1,anthurium plant,Miscellaneous,Red,Nook's Cranny 
furniture_18-2,anthurium plant,Miscellaneous,Berry red,Nook's Cranny 
furniture_18-3,anthurium plant,Miscellaneous,Green,Nook's Cranny 
furniture_18-4,anthurium plant,Miscellaneous,Pink,Nook's Cranny 
furniture_18-5,anthurium plant,Miscellaneous,White,Nook's Cranny 
furniture_19-1,antique cash register,Miscellaneous,Gold,Nook's Cranny Paradise Planning office 
furniture_19-2,antique cash register,Miscellaneous,Silver,Nook's Cranny Paradise Planning office 
furniture_19-3,antique cash register,Miscellaneous,Copper,Nook's Cranny Paradise Planning office 
furniture_19-4,antique cash register,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_19-5,antique cash register,Miscellaneous,White,Nook's Cranny Paradise Planning office 
furniture_20-1,antique map,Miscellaneous,,Nook's Cranny Paradise Planning office 
furniture_21-1,antique radio,Miscellaneous,Brown,Nook's Cranny Paradise Planning office 
furniture_21-2,antique radio,Miscellaneous,Natural,Nook's Cranny Paradise Planning office 
furniture_21-3,antique radio,Miscellaneous,Black,Nook's Cranny Paradise Planning office 
furniture_22-1,apple jam,Miscellaneous,,cooking 
furniture_23-1,apple jelly,Miscellaneous,,cooking 
furniture_24-1,apple pie,Miscellaneous,,cooking 
furniture_25-1,apple smoothie,Miscellaneous,,cooking 
furniture_26-1,apple tart,Miscellaneous,,cooking 
furniture_27-1,arapaima model,Miscellaneous,,C.J. 
furniture_28-1,aroma pot,Miscellaneous,White,crafting 
furniture_28-2,aroma pot,Miscellaneous,Brown,crafting 
